Mutation Probability,Zero-Shot Coordination Score,Protocol Diversity,mean_test_loss,mean_ground_truth_f1,ground_truth_acc,mean_student_error,mean_teacher_error,mean_protocol_diversity,mean_protocol_entropy
0.6,0.925,0.824999988079071,2.076774835586548,0.925,0.925,0.7266009449958801,0.00017383335216436535,0.824999988079071,0.05600094050168991
0.6,0.66875,0.5,2.956378936767578,0.66875,0.66875,0.9563786387443542,1.5944242193199898e-07,0.5,0.1600026935338974
0.6,0.9375,0.840624988079071,1.7093536853790283,0.9375,0.9375,0.3904528021812439,0.00015077102580107749,0.840624988079071,0.05100085586309433
0.6,0.66875,0.5,3.014113664627075,0.66875,0.66875,1.0141034126281738,1.0236130037810653e-05,0.5,0.1600026935338974
0.6,0.7375,0.5,2.4648680686950684,0.7375,0.7375,0.4648682475090027,1.594424361428537e-07,0.5,0.1600026935338974
0.6,0.7250000000000001,0.5,2.4900012016296387,0.7250000000000001,0.725,0.4899929463863373,8.424104635196272e-06,0.5,0.1600026935338974
0.7,0.85,0.7562500238418579,2.043503522872925,0.85,0.85,0.5557417273521423,0.00026172975776717067,0.7562500238418579,0.07800131291151047
0.7,0.64375,0.5,3.1660823822021484,0.64375,0.64375,1.1660659313201904,1.6103407688206062e-05,0.5,0.1600026935338974
0.7,0.8375,0.7406250238418579,1.771588921546936,0.8375,0.8375,0.2524361312389374,0.00040278700180351734,0.7406250238418579,0.08300139755010605
0.7,0.70625,0.5,2.717435836791992,0.70625,0.70625,0.7153078317642212,0.0021284637041389942,0.5,0.1600026935338974
0.7,0.70625,0.5,2.552284002304077,0.70625,0.70625,0.5522705316543579,1.3675916306965519e-05,0.5,0.1600026935338974
0.7,0.60625,0.5,2.6067442893981934,0.60625,0.60625,0.6056276559829712,0.0011162111768499017,0.5,0.1600026935338974
0.3,1.0,1.0,1.0116630792617798,1.0,1.0,0.011646869592368603,1.617043380974792e-05,1.0,7.222241883226942e-35
0.3,0.9,1.0,1.1508347988128662,0.9,0.9,0.15081894397735596,1.571699613123201e-05,1.0,7.222241883226942e-35
0.3,1.0,1.0,1.0029493570327759,1.0,1.0,0.002931817900389433,1.7623728126636706e-05,1.0,7.222241883226942e-35
0.3,1.0,1.0,1.0014195442199707,1.0,1.0,0.0013808337971568108,3.865265898639336e-05,1.0,7.222241883226942e-35
0.3,1.0,1.0,1.0016748905181885,1.0,1.0,0.0016605723649263382,1.4307292076409794e-05,1.0,7.222241883226942e-35
0.3,1.0,1.0,1.0003386735916138,1.0,1.0,0.00030196396983228624,3.6520621506497264e-05,1.0,7.222241883226942e-35
0.0,0.35625,1.0,6.278469085693359,0.35625,0.35625,5.278468132019043,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.0,0.2875,1.0,7.450196743011475,0.2875,0.2875,6.450196266174316,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.0,0.39375,1.0,5.616246223449707,0.39375,0.39375,4.616246223449707,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.0,0.2625,1.0,8.980003356933594,0.2625,0.2625,7.980003356933594,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.0,0.35,1.0,4.851605415344238,0.35,0.35,3.85160493850708,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.0,0.26875,1.0,7.380297660827637,0.26875,0.26875,6.380298137664795,1.1920928955078125e-07,1.0,7.222241883226942e-35
0.9,0.4375,0.38020819425582886,7.205510139465332,0.4375,0.4375,4.486762523651123,1.1920928955078125e-07,0.38020819425582886,1.1952712535858154
0.9,0.33125,0.33333322405815125,5.283219814300537,0.33125,0.33125,2.2832140922546387,6.177975592436269e-06,0.33333322405815125,1.6003763675689697
0.9,0.41875,0.38541659712791443,5.576387882232666,0.41875,0.41875,2.8888869285583496,1.1920928955078125e-07,0.38541659712791443,1.1502596139907837
0.9,0.50625,0.4156249463558197,5.276432514190674,0.50625,0.50625,2.7678565979003906,0.00232628989033401,0.4156249463558197,0.8891918063163757
0.9,0.3125,0.33333322405815125,5.677928924560547,0.3125,0.3125,2.6779260635375977,3.4851905184041243e-06,0.33333322405815125,1.6003763675689697
0.9,0.4875,0.4156249463558197,6.113697052001953,0.4875,0.4875,3.605501651763916,0.0019449703395366669,0.4156249463558197,0.8891918063163757
1.0,0.44375,0.4104166030883789,7.855428218841553,0.44375,0.44375,5.317800045013428,0.00012828591570723802,0.4104166030883789,0.9342034459114075
1.0,0.45625,0.38749992847442627,9.078938484191895,0.45625,0.45625,6.403770446777344,0.0001669340708758682,0.38749992847442627,1.132254958152771
1.0,0.47500000000000003,0.4156249463558197,5.1271562576293945,0.47500000000000003,0.475,2.6208198070526123,8.588771743234247e-05,0.4156249463558197,0.8891918063163757
1.0,0.4125,0.38124990463256836,8.752779960632324,0.4125,0.4125,6.0401530265808105,0.0001285631733480841,0.38124990463256836,1.1862690448760986
1.0,0.36875,0.38541656732559204,5.070340633392334,0.36875,0.36875,2.3826732635498047,0.00016679285909049213,0.38541656732559204,1.1502596139907837
1.0,0.4125,0.39166659116744995,7.730430603027344,0.4125,0.4125,5.08022928237915,0.00020158714323770255,0.39166659116744995,1.096245527267456
0.1,0.775,1.0,1.5416778326034546,0.775,0.775,0.5416709184646606,6.985380423429888e-06,1.0,7.222241883226942e-35
0.1,0.4625,1.0,2.0933308601379395,0.4625,0.4625,1.0932995080947876,3.148138057440519e-05,1.0,7.222241883226942e-35
0.1,1.0,1.0,1.0003961324691772,1.0,1.0,0.00038961548125371337,6.696295258734608e-06,1.0,7.222241883226942e-35
0.1,1.0,1.0,1.0030488967895508,1.0,1.0,0.0029708778019994497,7.802977052051574e-05,1.0,7.222241883226942e-35
0.1,0.86875,1.0,1.3348640203475952,0.86875,0.86875,0.3348349630832672,2.91528704110533e-05,1.0,7.222241883226942e-35
0.1,1.0,1.0,1.000784158706665,1.0,1.0,0.0006967127555981278,8.729893306735903e-05,1.0,7.222241883226942e-35
0.4,1.0,1.0,1.0020787715911865,1.0,1.0,0.0014575051609426737,0.0006214168388396502,1.0,7.222241883226942e-35
0.4,0.56875,0.5,3.698091506958008,0.56875,0.56875,1.6979148387908936,0.00017704159836284816,0.5,0.1600026935338974
0.4,0.8625,1.0,1.2098371982574463,0.8625,0.8625,0.20902080833911896,0.0008165065082721412,1.0,7.222241883226942e-35
0.4,0.63125,0.5,2.6559503078460693,0.63125,0.63125,0.6412540674209595,0.014696156606078148,0.5,0.1600026935338974
0.4,0.65,0.5,2.7971177101135254,0.65,0.65,0.7969051599502563,0.00021251039288472384,0.5,0.1600026935338974
0.4,0.7,0.5,2.582430124282837,0.7,0.7,0.5691598653793335,0.01327049545943737,0.5,0.1600026935338974
0.2,1.0,1.0,1.0002355575561523,1.0,1.0,0.00021195663430262357,2.3635171601199545e-05,1.0,7.222241883226942e-35
0.2,1.0,1.0,1.0019962787628174,1.0,1.0,0.0018896287074312568,0.00010674250370357186,1.0,7.222241883226942e-35
0.2,0.8875,1.0,1.1877610683441162,0.8875,0.8875,0.18774111568927765,2.0044892153237015e-05,1.0,7.222241883226942e-35
0.2,0.9625000000000001,1.0,1.1215999126434326,0.9625000000000001,0.9625,0.12157547473907471,2.446626967866905e-05,1.0,7.222241883226942e-35
0.2,1.0,1.0,1.003517508506775,1.0,1.0,0.003434611950069666,8.284948125947267e-05,1.0,7.222241883226942e-35
0.2,1.0,1.0,1.0748872756958008,1.0,1.0,0.0748634785413742,2.3633667296962813e-05,1.0,7.222241883226942e-35
0.8,0.35625,0.33333322405815125,6.942596435546875,0.35625,0.35625,3.9425978660583496,1.1920928955078125e-07,0.33333322405815125,1.6003763675689697
0.8,0.69375,0.5718749761581421,3.717785596847534,0.69375,0.69375,1.8615341186523438,1.8153550627175719e-06,0.5718749761581421,0.13700230419635773
0.8,0.3125,0.33333322405815125,4.243755340576172,0.3125,0.3125,1.243755578994751,1.1920928955078125e-07,0.33333322405815125,1.6003763675689697
0.8,0.6,0.47291669249534607,3.7980399131774902,0.6,0.6,1.63552987575531,1.0651386219251435e-05,0.47291669249534607,0.39406347274780273
0.8,0.69375,0.5718749761581421,4.843538284301758,0.69375,0.69375,2.98728609085083,1.960271220013965e-06,0.5718749761581421,0.13700230419635773
0.8,0.59375,0.47083330154418945,3.6832191944122314,0.59375,0.59375,1.5082060098648071,1.2675761354330461e-05,0.47083330154418945,0.41206806898117065
0.5,0.775,0.6499999761581421,2.217895030975342,0.775,0.775,0.517471194267273,0.00042344286339357495,0.6499999761581421,0.11200188100337982
0.5,0.7125,0.5,2.999537944793701,0.7125,0.7125,0.9965733289718628,0.0029646207112818956,0.5,0.1600026935338974
0.5,0.7250000000000001,0.6187499761581421,2.2962698936462402,0.7250000000000001,0.725,0.5333585143089294,0.0004115078190807253,0.6187499761581421,0.12200205028057098
0.5,0.8000000000000002,0.6656249761581421,2.0629868507385254,0.8000000000000002,0.8,0.3942360281944275,9.685767281553126e-07,0.6656249761581421,0.10700180381536484
0.5,0.60625,0.5,2.657073974609375,0.60625,0.60625,0.6535971164703369,0.0034765161108225584,0.5,0.1600026935338974
0.5,0.7625,0.637499988079071,2.1174869537353516,0.7625,0.7625,0.39248621463775635,9.827330131884082e-07,0.637499988079071,0.11600194871425629
